# ../gasoline/gasoline/pkdgrav L40_128_dark.param 
# PKDGRAV/GASOLINE Version 2.0.0 of $Date$
# Code compiled: Sep  6 2023 14:58:33
# Preprocessor macros: GASOLINE VSIGVISC WENDLANDC4 CHANGESOFT COOLING_METAL DTADJUST ESPACCH DIFFUSION

# Run started: Fri Sep  8 12:42:02 2023
# Master host: beehive8.uio.no
# N: 262144 nThreads: 20 bDiag: 0 Verbosity flags: (1,1,1,1,0)

# UNITS:  dMsolUnit: 1.02095e+15 dKpcUnit: 20000 dErgPerGmUnit: 2.19585e+15
# UNITS: dGmPerCcUnit (z=0): 8.64402e-30 dSecUnit: 1.31698e+18 (41732.6 Myr)
# UNITS: dKmPerSecUnit (z=0): 468.599
# BOX PARAMETERS:  bPeriodic: 1 bRestart: 0 bComove: 1 dPeriod: 1 dxPeriod: 1
# BOX PARAMETERS: dyPeriod: 1 dzPeriod: 1
# RUN DURATION:  iStartStep: 0 iStopStep: 128 nSteps: 128 iWallRunTime: 0
# RUN DURATION: dRedTo: 0
# READ/WRITE:  bParaRead: 0 bParaWrite: 0 bOverwrite: 0 iBinaryOutput: 0
# READ/WRITE: iReadIOrder: 0 bNoReOrder: 0 bStandard: 1 iOutInterval(0,0): 1 (0)
# READ/WRITE: dDumpFrameStep: -1 dDumpFrameTime: -1 iLogInterval: 1
# READ/WRITE: bLogTiming: 0 (0000) iCheckInterval: 1 bDoDensity: 1 dExtraStore: 2.000000
# READ/WRITE: achInFile: L20_64_IC.dat achOutName: L20_64_dark
# READ/WRITE: achDataSubPath: /uio/hume/student-u49/leaheh/AST4320_project2
# INTEGRATION:  bCannonical: 1 bKDK: 1 iOrder: 4 iEwOrder: 4 nReplicas: 1
# INTEGRATION: dEwCut: 2.600000 dEwhCut: 2.800000
# DOMAIN DECOMPOSITION:  dFracNoDomainDecomp: 0.1 dFracNoDomainDimChoice: 0.1
# DOMAIN DECOMPOSITION: bFastGas: 1 dFracFastGas: 0.2 bSplitWork: 1 bRungDD: 0
# DOMAIN DECOMPOSITION: dRungDDWeight: 1  nTruncateRung: 128 bLowerSoundSpeed: 0
# DOMAIN DECOMPOSITION: bGasDomainDecomp: 0
# TREEBUILD:  nBucket: 8 iTreeZipStep: 0 bTreeZipLocal: 1 iOpenType: JOSH
# TREEBUILD: dTheta: 0.525000 daSwitchTheta: 0.333333 dTheta2: 0.725000
# TREEBUILD: dAbsPartial: 0 dRealPartial: 0 dAbsTotal: 0 dRelTotal: 0
# SOFTENING:  dSoft: input bPhysicalSoft: 0 bVariableSoft: 0 (1 1 1)
# SOFTENING: nSoftNbr: 32 bSoftByType: 1 bSoftMaxMul: 1 dSoftMax: 0 bDoSoftOutput: 0
# TIMESTEPPING:  dDelta: 0.00258162 dDeltaSph: 0 dEta: 0.19 dEtauDot: 0.25
# TIMESTEPPING: dTMinDt: 0 duMinDt: 0 dEtaDeltaAccel: 0.2 dEtaCourant: 0.4 (0.25)
# TIMESTEPPING: iMaxRung: 24 bGravStep: 0 bEpsAccStep: 1 bDensityStep: 0
# TIMESTEPPING: bDeltaAccelStep: 0 (gt): 0 bLongRangeStep: 0 nTruncateRung: 128
# TIMESTEPPING: bNonSymp: 1
# COSMOLOGY:  dHubble0: 2.8944 dOmega0: 0.3077 dLambda: 0.6923 dOmegaRad: 0
# COSMOLOGY: dOmegab: 0 dQuintess: 0
# GRAVITY:  bEwald: 1 bSqrtPhiStep: 0 bDoGravity: 1 bDoSelfGravity: 1
# GRAVITY: bFandG: 0 bHeliocentric: 0 dCentMass: 1 dSunSoft: 0 bElliptical: 0
# GRAVITY: bEllipticalDarkNFW: 0 bLogHalo: 0 bHernquistSpheroid: 0 bNFWSpheroid: 0
# GRAVITY: bGalaxyDiskVerticalPotential: 0 dGalaxyDiskVerticalPotentialVc: 220
# GRAVITY: dGalaxyDiskVerticalPotentialR: 6 dGalaxyDiskVerticalPotentialStarSigma: 0
# GRAVITY: dGalaxyDiskVerticalPotentialStarH: 0.4
# GRAVITY: dGalaxyDiskVerticalPotentialGasSigma: 0 dGalaxyDiskVerticalPotentialGasH: 0.13 bHomogSpheroid: 0
# GRAVITY: dHomogSpheroidM: 1732820000 dHomogSpheroidR: 859255072 bBodyForce: 0
# GRAVITY: dBodyForceConst: 0 bMiyamotoDisk: 0 bTimeVarying: 0 bRotatingBar: 0
# GRAVITY: bRotFrame: 0 dOmega: 0 dOmegaDot: 0
# ROTATING BAR:  dRotBarMass: 0 dRotBarLength: 0 dRotBarCorotFac: 0
# ROTATING BAR: dRotBarTurnOff: 0 dRotBarTurnOn: 0 dRotBarAmpFac: 0 dRotBarDuration: 0
# ROTATING BAR: dRotBarPosAng: 0 dRotBarTime0: 0 dRotBarOmega: 0 dRotBarB5: 0
# ROTATING BAR: dRotBarIz: 0 dRotBarLz: 0 dRotBarLz0: 0 bFixedBar: 0 bBarMonopole: 1
# ROTATING BAR: dRotBarMonoPoleFac: 1
# NON-INERTIAL REFERENCE FRAME:  bPatch: 0 iStripOption: 2
# SINKS:  bDoSinks: 0 bBHSink: 0 dBHSinkEddEff: 0.1 dBHSinkFeedbackEff: 0.05
# SINKS: dBHSinkAlpha: 1 bDoBHKick: 0 bBHTurnOffCooling: 0 bSmallBHSmooth: 0
# SINKS: bBHMindv: 0 bBHAccreteAll: 1 bDoSinksAtStart: 0 bSinkThermal: 0
# SINKS: dSinkRadius: 0 dSinkBoundOrbitRadius: 0 dSinkMustAccreteRadius: 0 dSinkMassMin: 0
# SINKS: bSinkForm: 0 bSinkFormSimple: 0 bSinkFormJeans: 0 bSinkFormDivV: 0 (0)
# SINKS: bSinkFormDivAcc: 0 (0) bSinkFormDV: 0 bSinkFormPotMin: 0
# SINKS: nSinkFormMin: 64 bSinkAngMomOutput: 0 bSinkMerge: 1 nJeans: 50
# SINKS: dJeansConstant: 23.3246 dSinkFormDensity: -1 dSinkTimeEligible: 0
# SPH:  nSmooth: 64 dhMinOverSoft: 0 dResolveJeans: 0 bVariableAlpha: 0
# SPH: bDoGas: 0 bInitGasDensity: 1 bGeometric: 0 bGasAdiabatic: 1 bGasIsothermal: 0
# SPH: bGasCooling: 0 bShockTracker: 0 dShockTrackerA: 0.16 dShockTrackerB: 0.4
# SPH: dTauAlpha: 0.1 dAlphaMax: 4 dAlphaMin: 0 dNAlphaNoise: 100 dAFac: 2
# SPH: dConstAlpha: 1 dConstBeta: 2 bViscosityLimiter: 1 iViscosityLimiter: 1
# SPH: bViscosityLimitdt: 0 bBulkViscosity: 0 bSphStep: 1 bSphSingleStep: 0
# SPH: ddHonHLimit: 0.1 bSimpleGasDrag: 0 bEpstein: 1 dGamma: 1e-11
# GROWMASS:  nGrowMass: 0 bGrowDark: 1 bGrowGas: 1 bGrowStar: 1 dGrowDeltaM: 0
# GROWMASS: dGrowStartT: 0 dGrowEndT: 1 dGrowMaxM: 1.79769e+308 dGrowMinM: 0
# GAS PHYSICS:  dConstGamma: 1.66667 dMeanMolWeight: 1 dGasConst: 3.76322e-08
# GAS PHYSICS: dTuFac: 5.64483e-08 dKBoltzUnit: 1 dPext: 0 nSuperCool: 0
# GAS PHYSICS: bSymCool: 0 dCoolDens: 50 dCoolFac: 0.95 dCoolMaxDens: 1e+08
# GAS PHYSICS: bConstantDiffusion: 0 dMetalDiffusionCoeff: 0 dThermalDiffusionCoeff: 0
# GAS PHYSICS: dEvapCoeff: 1.2e-07 dEvapMinTemp: 100000 dThermalCondCoeff: 1.2e-07
# GAS PHYSICS: dThermalCondSatCoeff: 17 dThermalCond2Coeff: 500
# GAS PHYSICS: dThermalCond2SatCoeff: 0.5 dEtaDiffusion: 0.1
# COOLING:  bIonNonEqm: 1 bUV: 1 bUVTableUsesTime: 0 dMassFracHelium: 0.236
# COOLING: dCoolingTmin: 10 dCoolingTmax: 1e+09 nCoolingTable: 15001
# COOLING: bDoIonOutput: 0 bLowTCool: 0 bMetal: 1 dPhotoelectricHeating: 0
# COOLING: dPhotoelectricScaleLength: 4 dPhotoelectricInnerRadius: 4 dzTimeClampUV: -1
# COOLING: dMetalCoolFactor: 1
# RedOut: none
# Log entries:
# dTime z E T U Eth Lx Ly Lz WallTime dWMax dImax dEMax dMultiEff
2.8673e-04 1.2700e+02 -7.854159e-07 1.6423e-08 -8.0184e-07 0.0000e+00 -1.115072e-15 -7.422925e-16 4.827152e-15 0 0.0000e+00 9.7220e-01 0.0000e+00 1.0000e+00
2.8683e-03 2.6570e+01 -5.545480e-07 1.6498e-06 -6.0307e-06 0.0000e+00 -6.640692e-08 4.707494e-07 8.724551e-07 48 0.0000e+00 1.1402e+00 0.0000e+00 3.6052e+01
5.4500e-03 1.6971e+01 -4.257418e-07 6.0089e-06 -1.4374e-05 0.0000e+00 -1.103995e-06 9.553002e-07 1.407867e-06 22 0.0000e+00 1.0576e+00 0.0000e+00 1.5490e+01
8.0316e-03 1.2877e+01 -3.128685e-07 1.3190e-05 -2.6592e-05 0.0000e+00 -1.574790e-06 1.746150e-06 1.267824e-06 15 0.0000e+00 1.0621e+00 0.0000e+00 1.1747e+01
1.0613e-02 1.0523e+01 -1.825175e-07 2.3332e-05 -4.2963e-05 0.0000e+00 -1.662304e-06 2.931334e-06 3.270845e-06 13 0.0000e+00 1.0916e+00 0.0000e+00 8.7564e+00
1.3195e-02 8.9650e+00 -2.836277e-08 3.6643e-05 -6.3790e-05 0.0000e+00 -1.731509e-06 4.762448e-06 4.261375e-06 11 0.0000e+00 1.1124e+00 0.0000e+00 7.6264e+00
1.5776e-02 7.8449e+00 1.291013e-07 5.3346e-05 -8.9398e-05 0.0000e+00 -9.134156e-07 6.827996e-06 6.856207e-06 11 0.0000e+00 1.1284e+00 0.0000e+00 7.1029e+00
1.8358e-02 6.9939e+00 2.791623e-07 7.3707e-05 -1.2015e-04 0.0000e+00 -1.605210e-08 8.268076e-06 9.692721e-06 11 0.0000e+00 1.1342e+00 0.0000e+00 6.6022e+00
2.0940e-02 6.3215e+00 4.576210e-07 9.7933e-05 -1.5629e-04 0.0000e+00 -2.658555e-07 9.579139e-06 1.060843e-05 10 0.0000e+00 1.1560e+00 0.0000e+00 6.1088e+00
2.3521e-02 5.7744e+00 6.569770e-07 1.2627e-04 -1.9814e-04 0.0000e+00 3.085793e-06 1.118036e-05 1.119855e-05 11 0.0000e+00 1.1520e+00 0.0000e+00 5.6506e+00
2.6103e-02 5.3188e+00 8.528550e-07 1.5912e-04 -2.4621e-04 0.0000e+00 7.570118e-06 1.282457e-05 1.085836e-05 10 0.0000e+00 1.1675e+00 0.0000e+00 5.2863e+00
2.8685e-02 4.9325e+00 1.097615e-06 1.9678e-04 -3.0084e-04 0.0000e+00 1.166649e-05 1.519907e-05 1.011556e-05 10 0.0000e+00 1.1588e+00 0.0000e+00 5.0249e+00
3.1266e-02 4.6001e+00 1.369806e-06 2.3946e-04 -3.6233e-04 0.0000e+00 1.295592e-05 1.774983e-05 1.009437e-05 10 0.0000e+00 1.1736e+00 0.0000e+00 4.8465e+00
3.3848e-02 4.3103e+00 1.578658e-06 2.8733e-04 -4.3103e-04 0.0000e+00 1.315414e-05 2.068369e-05 9.268651e-06 9 0.0000e+00 1.1722e+00 0.0000e+00 4.7368e+00
3.6429e-02 4.0550e+00 1.778936e-06 3.3902e-04 -5.0555e-04 0.0000e+00 1.191002e-05 2.476669e-05 1.401692e-05 10 0.0000e+00 1.1830e+00 0.0000e+00 4.6538e+00
3.9011e-02 3.8281e+00 2.075651e-06 3.9495e-04 -5.8622e-04 0.0000e+00 1.236534e-05 2.718205e-05 1.759260e-05 10 0.0000e+00 1.1989e+00 0.0000e+00 4.5731e+00
4.1593e-02 3.6248e+00 2.368312e-06 4.5707e-04 -6.7515e-04 0.0000e+00 1.108080e-05 3.169997e-05 2.115071e-05 9 0.0000e+00 1.1934e+00 0.0000e+00 4.4958e+00
4.4174e-02 3.4414e+00 2.601807e-06 5.2549e-04 -7.7260e-04 0.0000e+00 1.276597e-05 3.586274e-05 2.222893e-05 10 0.0000e+00 1.2084e+00 0.0000e+00 4.4334e+00
4.6756e-02 3.2749e+00 2.932460e-06 5.9949e-04 -8.7777e-04 0.0000e+00 1.508380e-05 3.996097e-05 2.537200e-05 10 0.0000e+00 1.2721e+00 0.0000e+00 4.3661e+00
4.9337e-02 3.1229e+00 3.220322e-06 6.7712e-04 -9.8885e-04 0.0000e+00 1.725320e-05 4.279217e-05 2.784384e-05 10 0.0000e+00 1.2817e+00 0.0000e+00 4.2943e+00
5.1919e-02 2.9836e+00 3.512926e-06 7.6084e-04 -1.1083e-03 0.0000e+00 2.103304e-05 4.614354e-05 2.935421e-05 10 0.0000e+00 1.4004e+00 0.0000e+00 4.2276e+00
5.4501e-02 2.8553e+00 3.853711e-06 8.4998e-04 -1.2355e-03 0.0000e+00 2.243358e-05 5.123135e-05 2.874539e-05 10 0.0000e+00 1.3252e+00 0.0000e+00 4.1515e+00
5.7082e-02 2.7366e+00 4.309499e-06 9.4646e-04 -1.3722e-03 0.0000e+00 2.413966e-05 5.761212e-05 2.903209e-05 10 0.0000e+00 1.3848e+00 0.0000e+00 4.0699e+00
5.9664e-02 2.6264e+00 4.527194e-06 1.0498e-03 -1.5186e-03 0.0000e+00 2.246062e-05 6.362570e-05 2.959388e-05 10 0.0000e+00 1.2915e+00 0.0000e+00 4.0117e+00
6.2246e-02 2.5238e+00 4.700353e-06 1.1546e-03 -1.6689e-03 0.0000e+00 2.274597e-05 6.791344e-05 3.493519e-05 10 0.0000e+00 1.2382e+00 0.0000e+00 3.9538e+00
6.4827e-02 2.4280e+00 5.130606e-06 1.2629e-03 -1.8249e-03 0.0000e+00 2.260564e-05 7.250803e-05 3.909561e-05 9 0.0000e+00 1.2598e+00 0.0000e+00 3.8786e+00
6.7409e-02 2.3383e+00 5.479790e-06 1.3800e-03 -1.9923e-03 0.0000e+00 2.256008e-05 7.888619e-05 4.525658e-05 8 0.0000e+00 1.2635e+00 0.0000e+00 3.8253e+00
6.9990e-02 2.2540e+00 5.887240e-06 1.5104e-03 -2.1756e-03 0.0000e+00 2.479927e-05 8.635544e-05 4.972222e-05 8 0.0000e+00 1.2642e+00 0.0000e+00 3.7801e+00
7.2572e-02 2.1747e+00 6.413795e-06 1.6536e-03 -2.3743e-03 0.0000e+00 2.828190e-05 9.070971e-05 5.570903e-05 8 0.0000e+00 1.2862e+00 0.0000e+00 3.7540e+00
7.5154e-02 2.0999e+00 6.625649e-06 1.8053e-03 -2.5849e-03 0.0000e+00 2.990860e-05 9.611779e-05 5.817100e-05 8 0.0000e+00 1.3044e+00 0.0000e+00 3.7360e+00
7.7735e-02 2.0291e+00 7.150764e-06 1.9628e-03 -2.8041e-03 0.0000e+00 3.329315e-05 9.802232e-05 6.237483e-05 9 0.0000e+00 1.2874e+00 0.0000e+00 3.7122e+00
8.0317e-02 1.9621e+00 7.293356e-06 2.1226e-03 -3.0289e-03 0.0000e+00 3.687679e-05 1.019668e-04 7.138366e-05 8 0.0000e+00 1.3032e+00 0.0000e+00 3.6780e+00
8.2899e-02 1.8985e+00 7.815334e-06 2.2986e-03 -3.2728e-03 0.0000e+00 3.921040e-05 1.044974e-04 8.021052e-05 5 0.0000e+00 7.7671e-01 0.0000e+00 3.6609e+00
8.5480e-02 1.8381e+00 5.621647e-06 2.4805e-03 -3.5285e-03 0.0000e+00 4.495364e-05 1.049900e-04 9.309792e-05 6 0.0000e+00 7.6029e-01 0.0000e+00 3.6336e+00
8.8062e-02 1.7806e+00 6.467661e-06 2.6454e-03 -3.7673e-03 0.0000e+00 4.812227e-05 1.070936e-04 1.004491e-04 6 0.0000e+00 7.5829e-01 0.0000e+00 3.5906e+00
9.0643e-02 1.7257e+00 7.130764e-06 2.8038e-03 -4.0024e-03 0.0000e+00 5.068205e-05 1.089509e-04 1.157176e-04 5 0.0000e+00 7.6943e-01 0.0000e+00 3.5564e+00
9.3225e-02 1.6733e+00 7.571922e-06 2.9793e-03 -4.2575e-03 0.0000e+00 4.871905e-05 1.130159e-04 1.272882e-04 5 0.0000e+00 7.5720e-01 0.0000e+00 3.5306e+00
9.5807e-02 1.6232e+00 6.939140e-06 3.1692e-03 -4.5312e-03 0.0000e+00 5.080700e-05 1.152780e-04 1.390009e-04 6 0.0000e+00 7.7145e-01 0.0000e+00 3.4869e+00
