# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001     0.000165323     0.000165323     0.000165323
     0.000106333     0.000175457     0.000175457     0.000175457
     0.000113066     0.000186212     0.000186212     0.000186212
     0.000120226     0.000197625     0.000197625     0.000197625
      0.00012784     0.000209737     0.000209737     0.000209737
     0.000135936      0.00022259      0.00022259      0.00022259
     0.000144544     0.000236229     0.000236229     0.000236229
     0.000153697     0.000250703     0.000250703     0.000250703
     0.000163431     0.000266062     0.000266062     0.000266062
      0.00017378      0.00028236      0.00028236      0.00028236
     0.000184785     0.000299654     0.000299654     0.000299654
     0.000196487     0.000318005     0.000318005     0.000318005
      0.00020893     0.000337475     0.000337475     0.000337475
      0.00022216     0.000358134     0.000358134     0.000358134
     0.000236229     0.000380052     0.000380052     0.000380052
     0.000251189     0.000403305     0.000403305     0.000403305
     0.000267096     0.000427975     0.000427975     0.000427975
      0.00028401     0.000454145     0.000454145     0.000454145
     0.000301995     0.000481906     0.000481906     0.000481906
     0.000321119     0.000511351     0.000511351     0.000511351
     0.000341455     0.000542582     0.000542582     0.000542582
     0.000363078     0.000575704     0.000575704     0.000575704
     0.000386071     0.000610828     0.000610828     0.000610828
     0.000410519     0.000648071     0.000648071     0.000648071
     0.000436516     0.000687557     0.000687557     0.000687557
     0.000464159     0.000729416     0.000729416     0.000729416
     0.000493552     0.000773785     0.000773785     0.000773785
     0.000524807     0.000820806     0.000820806     0.000820806
     0.000558042      0.00087063      0.00087063      0.00087063
     0.000593381     0.000923415     0.000923415     0.000923415
     0.000630957     0.000979323     0.000979323     0.000979323
     0.000670914      0.00103853      0.00103853      0.00103853
       0.0007134      0.00110121      0.00110121      0.00110121
     0.000758578      0.00116754      0.00116754      0.00116754
     0.000806616      0.00123773      0.00123773      0.00123773
     0.000857696      0.00131197      0.00131197      0.00131197
     0.000912011      0.00139046      0.00139046      0.00139046
     0.000969765      0.00147342      0.00147342      0.00147342
      0.00103118      0.00156105      0.00156105      0.00156105
      0.00109648      0.00165358      0.00165358      0.00165358
      0.00116591      0.00175123      0.00175123      0.00175123
      0.00123975      0.00185422      0.00185422      0.00185422
      0.00131826      0.00196277      0.00196277      0.00196277
      0.00140174       0.0020771       0.0020771       0.0020771
       0.0014905      0.00219743      0.00219743      0.00219743
      0.00158489      0.00232397      0.00232397      0.00232397
      0.00168526      0.00245693      0.00245693      0.00245693
      0.00179198      0.00259648      0.00259648      0.00259648
      0.00190546      0.00274282      0.00274282      0.00274282
      0.00202613      0.00289609      0.00289609      0.00289609
      0.00215443      0.00305644      0.00305644      0.00305644
      0.00229087      0.00322397      0.00322397      0.00322397
      0.00243594      0.00339875      0.00339875      0.00339875
       0.0025902      0.00358084      0.00358084      0.00358084
      0.00275423      0.00377023      0.00377023      0.00377023
      0.00292864      0.00396688      0.00396688      0.00396688
      0.00311411      0.00417069      0.00417069      0.00417069
      0.00331131      0.00438152      0.00438152      0.00438152
      0.00352101      0.00459913      0.00459913      0.00459913
      0.00374398      0.00482326      0.00482326      0.00482326
      0.00398107      0.00505353      0.00505353      0.00505353
      0.00423318      0.00528951      0.00528951      0.00528951
      0.00450125      0.00553068      0.00553068      0.00553068
       0.0047863       0.0057764       0.0057764       0.0057764
       0.0050894      0.00602597      0.00602597      0.00602597
       0.0054117      0.00627857      0.00627857      0.00627857
       0.0057544      0.00653327      0.00653327      0.00653327
      0.00611881      0.00678903      0.00678903      0.00678903
      0.00650629      0.00704469      0.00704469      0.00704469
      0.00691831      0.00729899      0.00729899      0.00729899
      0.00735642      0.00755052      0.00755052      0.00755052
      0.00782228      0.00779775      0.00779775      0.00779775
      0.00831764      0.00803901      0.00803901      0.00803901
      0.00884437      0.00827251      0.00827251      0.00827251
      0.00940445      0.00849631      0.00849631      0.00849631
            0.01      0.00870832      0.00870832      0.00870832
       0.0106333       0.0089063       0.0089063       0.0089063
       0.0113066      0.00908788      0.00908788      0.00908788
       0.0120226      0.00925053      0.00925053      0.00925053
        0.012784      0.00939156      0.00939156      0.00939156
       0.0135936      0.00950818      0.00950818      0.00950818
       0.0144544      0.00959748      0.00959748      0.00959748
       0.0153697      0.00965647      0.00965647      0.00965647
       0.0163431       0.0096822       0.0096822       0.0096822
        0.017378      0.00967179      0.00967179      0.00967179
       0.0184785      0.00962259      0.00962259      0.00962259
       0.0196487      0.00953242      0.00953242      0.00953242
        0.020893      0.00939971      0.00939971      0.00939971
        0.022216      0.00922383      0.00922383      0.00922383
       0.0236229      0.00900537      0.00900537      0.00900537
       0.0251189      0.00874637      0.00874637      0.00874637
       0.0267096      0.00845053      0.00845053      0.00845053
        0.028401      0.00812324      0.00812324      0.00812324
       0.0301995       0.0077714       0.0077714       0.0077714
       0.0321119      0.00740315      0.00740315      0.00740315
       0.0341455      0.00702723      0.00702723      0.00702723
