# ./pkdgrav my_ic.param 
# PKDGRAV/GASOLINE Version 2.0.0 of $Date$
# Code compiled: Aug 30 2023 15:24:16
# Preprocessor macros: GASOLINE VSIGVISC WENDLANDC4 CHANGESOFT COOLING_METAL DTADJUST ESPACCH DIFFUSION

# Run started: Wed Aug 30 16:01:26 2023
# Master host: beehive12.uio.no
# N: 262144 nThreads: 20 bDiag: 0 Verbosity flags: (1,1,1,1,0)

# UNITS:  dMsolUnit: 1.02095e+15 dKpcUnit: 20000 dErgPerGmUnit: 2.19585e+15
# UNITS: dGmPerCcUnit (z=0): 8.64402e-30 dSecUnit: 1.31698e+18 (41732.6 Myr)
# UNITS: dKmPerSecUnit (z=0): 468.599
# BOX PARAMETERS:  bPeriodic: 1 bRestart: 0 bComove: 1 dPeriod: 1 dxPeriod: 1
# BOX PARAMETERS: dyPeriod: 1 dzPeriod: 1
# RUN DURATION:  iStartStep: 0 iStopStep: 128 nSteps: 128 iWallRunTime: 0
# RUN DURATION: dRedTo: 0
# READ/WRITE:  bParaRead: 0 bParaWrite: 0 bOverwrite: 0 iBinaryOutput: 0
# READ/WRITE: iReadIOrder: 0 bNoReOrder: 0 bStandard: 1 iOutInterval(0,0): 1 (0)
# READ/WRITE: dDumpFrameStep: -1 dDumpFrameTime: -1 iLogInterval: 1
# READ/WRITE: bLogTiming: 0 (0000) iCheckInterval: 1 bDoDensity: 1 dExtraStore: 2.000000
# READ/WRITE: achInFile: my_ic.dat achOutName: my_dark
# READ/WRITE: achDataSubPath: /uio/hume/student-u80/jlcarlse/ast4320/AST4320_project2/music/
# INTEGRATION:  bCannonical: 1 bKDK: 1 iOrder: 4 iEwOrder: 4 nReplicas: 1
# INTEGRATION: dEwCut: 2.600000 dEwhCut: 2.800000
# DOMAIN DECOMPOSITION:  dFracNoDomainDecomp: 0.1 dFracNoDomainDimChoice: 0.1
# DOMAIN DECOMPOSITION: bFastGas: 1 dFracFastGas: 0.2 bSplitWork: 1 bRungDD: 0
# DOMAIN DECOMPOSITION: dRungDDWeight: 1  nTruncateRung: 128 bLowerSoundSpeed: 0
# DOMAIN DECOMPOSITION: bGasDomainDecomp: 0
# TREEBUILD:  nBucket: 8 iTreeZipStep: 0 bTreeZipLocal: 1 iOpenType: JOSH
# TREEBUILD: dTheta: 0.525000 daSwitchTheta: 0.333333 dTheta2: 0.725000
# TREEBUILD: dAbsPartial: 0 dRealPartial: 0 dAbsTotal: 0 dRelTotal: 0
# SOFTENING:  dSoft: input bPhysicalSoft: 0 bVariableSoft: 0 (1 1 1)
# SOFTENING: nSoftNbr: 32 bSoftByType: 1 bSoftMaxMul: 1 dSoftMax: 0 bDoSoftOutput: 0
# TIMESTEPPING:  dDelta: 0.00258162 dDeltaSph: 0 dEta: 0.19 dEtauDot: 0.25
# TIMESTEPPING: dTMinDt: 0 duMinDt: 0 dEtaDeltaAccel: 0.2 dEtaCourant: 0.4 (0.25)
# TIMESTEPPING: iMaxRung: 24 bGravStep: 0 bEpsAccStep: 1 bDensityStep: 0
# TIMESTEPPING: bDeltaAccelStep: 0 (gt): 0 bLongRangeStep: 0 nTruncateRung: 128
# TIMESTEPPING: bNonSymp: 1
# COSMOLOGY:  dHubble0: 2.8944 dOmega0: 0.3077 dLambda: 0.6923 dOmegaRad: 0
# COSMOLOGY: dOmegab: 0 dQuintess: 0
# GRAVITY:  bEwald: 1 bSqrtPhiStep: 0 bDoGravity: 1 bDoSelfGravity: 1
# GRAVITY: bFandG: 0 bHeliocentric: 0 dCentMass: 1 dSunSoft: 0 bElliptical: 0
# GRAVITY: bEllipticalDarkNFW: 0 bLogHalo: 0 bHernquistSpheroid: 0 bNFWSpheroid: 0
# GRAVITY: bGalaxyDiskVerticalPotential: 0 dGalaxyDiskVerticalPotentialVc: 220
# GRAVITY: dGalaxyDiskVerticalPotentialR: 6 dGalaxyDiskVerticalPotentialStarSigma: 0
# GRAVITY: dGalaxyDiskVerticalPotentialStarH: 0.4
# GRAVITY: dGalaxyDiskVerticalPotentialGasSigma: 0 dGalaxyDiskVerticalPotentialGasH: 0.13 bHomogSpheroid: 0
# GRAVITY: dHomogSpheroidM: 390118432 dHomogSpheroidR: 809055008 bBodyForce: 0
# GRAVITY: dBodyForceConst: 0 bMiyamotoDisk: 0 bTimeVarying: 0 bRotatingBar: 0
# GRAVITY: bRotFrame: 0 dOmega: 0 dOmegaDot: 0
# ROTATING BAR:  dRotBarMass: 0 dRotBarLength: 0 dRotBarCorotFac: 0
# ROTATING BAR: dRotBarTurnOff: 0 dRotBarTurnOn: 0 dRotBarAmpFac: 0 dRotBarDuration: 0
# ROTATING BAR: dRotBarPosAng: 0 dRotBarTime0: 0 dRotBarOmega: 0 dRotBarB5: 0
# ROTATING BAR: dRotBarIz: 0 dRotBarLz: 0 dRotBarLz0: 0 bFixedBar: 0 bBarMonopole: 1
# ROTATING BAR: dRotBarMonoPoleFac: 1
# NON-INERTIAL REFERENCE FRAME:  bPatch: 0 iStripOption: 2
# SINKS:  bDoSinks: 0 bBHSink: 0 dBHSinkEddEff: 0.1 dBHSinkFeedbackEff: 0.05
# SINKS: dBHSinkAlpha: 1 bDoBHKick: 0 bBHTurnOffCooling: 0 bSmallBHSmooth: 0
# SINKS: bBHMindv: 0 bBHAccreteAll: 1 bDoSinksAtStart: 0 bSinkThermal: 0
# SINKS: dSinkRadius: 0 dSinkBoundOrbitRadius: 0 dSinkMustAccreteRadius: 0 dSinkMassMin: 0
# SINKS: bSinkForm: 0 bSinkFormSimple: 0 bSinkFormJeans: 0 bSinkFormDivV: 0 (0)
# SINKS: bSinkFormDivAcc: 0 (0) bSinkFormDV: 0 bSinkFormPotMin: 0
# SINKS: nSinkFormMin: 64 bSinkAngMomOutput: 0 bSinkMerge: 1 nJeans: 50
# SINKS: dJeansConstant: 23.3246 dSinkFormDensity: -1 dSinkTimeEligible: 0
# SPH:  nSmooth: 64 dhMinOverSoft: 0 dResolveJeans: 0 bVariableAlpha: 0
# SPH: bDoGas: 0 bInitGasDensity: 1 bGeometric: 0 bGasAdiabatic: 1 bGasIsothermal: 0
# SPH: bGasCooling: 0 bShockTracker: 0 dShockTrackerA: 0.16 dShockTrackerB: 0.4
# SPH: dTauAlpha: 0.1 dAlphaMax: 4 dAlphaMin: 0 dNAlphaNoise: 100 dAFac: 2
# SPH: dConstAlpha: 1 dConstBeta: 2 bViscosityLimiter: 1 iViscosityLimiter: 1
# SPH: bViscosityLimitdt: 0 bBulkViscosity: 0 bSphStep: 1 bSphSingleStep: 0
# SPH: ddHonHLimit: 0.1 bSimpleGasDrag: 0 bEpstein: 1 dGamma: 1e-11
# GROWMASS:  nGrowMass: 0 bGrowDark: 1 bGrowGas: 1 bGrowStar: 1 dGrowDeltaM: 0
# GROWMASS: dGrowStartT: 0 dGrowEndT: 1 dGrowMaxM: 1.79769e+308 dGrowMinM: 0
# GAS PHYSICS:  dConstGamma: 1.66667 dMeanMolWeight: 1 dGasConst: 3.76322e-08
# GAS PHYSICS: dTuFac: 5.64483e-08 dKBoltzUnit: 1 dPext: 0 nSuperCool: 0
# GAS PHYSICS: bSymCool: 0 dCoolDens: 50 dCoolFac: 0.95 dCoolMaxDens: 1e+08
# GAS PHYSICS: bConstantDiffusion: 0 dMetalDiffusionCoeff: 0 dThermalDiffusionCoeff: 0
# GAS PHYSICS: dEvapCoeff: 1.2e-07 dEvapMinTemp: 100000 dThermalCondCoeff: 1.2e-07
# GAS PHYSICS: dThermalCondSatCoeff: 17 dThermalCond2Coeff: 500
# GAS PHYSICS: dThermalCond2SatCoeff: 0.5 dEtaDiffusion: 0.1
# COOLING:  bIonNonEqm: 1 bUV: 1 bUVTableUsesTime: 0 dMassFracHelium: 0.236
# COOLING: dCoolingTmin: 10 dCoolingTmax: 1e+09 nCoolingTable: 15001
# COOLING: bDoIonOutput: 0 bLowTCool: 0 bMetal: 1 dPhotoelectricHeating: 0
# COOLING: dPhotoelectricScaleLength: 4 dPhotoelectricInnerRadius: 4 dzTimeClampUV: -1
# COOLING: dMetalCoolFactor: 1
# RedOut: none
# Log entries:
# dTime z E T U Eth Lx Ly Lz WallTime dWMax dImax dEMax dMultiEff
2.8673e-04 1.2700e+02 -7.890533e-07 1.2485e-08 -8.0154e-07 0.0000e+00 -9.262453e-16 -3.322881e-16 1.361382e-15 1 0.0000e+00 1.0362e+00 0.0000e+00 1.0000e+00
2.8683e-03 2.6570e+01 -6.716623e-07 1.2495e-06 -5.5638e-06 0.0000e+00 6.004304e-07 4.533615e-07 4.389778e-07 45 0.0000e+00 1.0958e+00 0.0000e+00 3.3481e+01
5.4500e-03 1.6971e+01 -6.596830e-07 4.5707e-06 -1.2542e-05 0.0000e+00 2.588928e-06 1.315419e-06 1.969730e-06 21 0.0000e+00 1.0678e+00 0.0000e+00 1.4667e+01
8.0316e-03 1.2877e+01 -6.622859e-07 1.0077e-05 -2.2460e-05 0.0000e+00 5.505995e-06 2.226166e-06 4.108694e-06 14 0.0000e+00 1.0694e+00 0.0000e+00 1.0756e+01
1.0613e-02 1.0523e+01 -6.912725e-07 1.7920e-05 -3.5649e-05 0.0000e+00 8.062865e-06 3.259654e-06 7.421191e-06 13 0.0000e+00 1.0956e+00 0.0000e+00 8.1888e+00
1.3195e-02 8.9650e+00 -6.884275e-07 2.8309e-05 -5.2361e-05 0.0000e+00 1.115791e-05 5.624283e-06 1.013144e-05 12 0.0000e+00 1.0992e+00 0.0000e+00 7.3423e+00
1.5776e-02 7.8449e+00 -6.862163e-07 4.1508e-05 -7.2974e-05 0.0000e+00 1.406501e-05 7.784744e-06 1.423032e-05 10 0.0000e+00 1.1207e+00 0.0000e+00 6.7475e+00
1.8358e-02 6.9939e+00 -7.013724e-07 5.7751e-05 -9.7823e-05 0.0000e+00 1.802845e-05 9.726742e-06 1.865391e-05 10 0.0000e+00 1.1375e+00 0.0000e+00 6.1596e+00
2.0940e-02 6.3215e+00 -7.081246e-07 7.7337e-05 -1.2726e-04 0.0000e+00 2.209837e-05 1.221806e-05 2.229778e-05 11 0.0000e+00 1.1399e+00 0.0000e+00 5.6517e+00
2.3521e-02 5.7744e+00 -6.943577e-07 1.0044e-04 -1.6152e-04 0.0000e+00 2.725856e-05 1.509441e-05 2.672499e-05 10 0.0000e+00 1.1407e+00 0.0000e+00 5.2693e+00
2.6103e-02 5.3188e+00 -6.783493e-07 1.2752e-04 -2.0118e-04 0.0000e+00 3.208996e-05 1.766006e-05 3.356261e-05 10 0.0000e+00 1.1467e+00 0.0000e+00 4.9985e+00
2.8685e-02 4.9325e+00 -7.097586e-07 1.5902e-04 -2.4680e-04 0.0000e+00 3.712461e-05 2.097826e-05 3.943770e-05 10 0.0000e+00 1.1815e+00 0.0000e+00 4.8178e+00
3.1266e-02 4.6001e+00 -6.138990e-07 1.9554e-04 -2.9893e-04 0.0000e+00 4.307422e-05 2.423507e-05 4.343402e-05 9 0.0000e+00 1.1862e+00 0.0000e+00 4.6883e+00
3.3848e-02 4.3103e+00 -5.735847e-07 2.3695e-04 -3.5771e-04 0.0000e+00 4.936566e-05 2.841163e-05 4.834452e-05 9 0.0000e+00 1.1954e+00 0.0000e+00 4.6096e+00
3.6429e-02 4.0550e+00 -5.546716e-07 2.8325e-04 -4.2319e-04 0.0000e+00 5.620954e-05 3.073948e-05 5.374685e-05 9 0.0000e+00 1.1898e+00 0.0000e+00 4.5454e+00
3.9011e-02 3.8281e+00 -5.273085e-07 3.3573e-04 -4.9674e-04 0.0000e+00 6.128350e-05 3.552680e-05 6.035967e-05 10 0.0000e+00 1.1957e+00 0.0000e+00 4.4686e+00
4.1593e-02 3.6248e+00 -3.611614e-07 3.9482e-04 -5.7877e-04 0.0000e+00 6.680422e-05 4.035529e-05 6.589504e-05 10 0.0000e+00 1.1977e+00 0.0000e+00 4.3943e+00
4.4174e-02 3.4414e+00 -2.909721e-07 4.6298e-04 -6.7214e-04 0.0000e+00 7.238723e-05 4.536392e-05 7.378254e-05 10 0.0000e+00 1.2162e+00 0.0000e+00 4.3287e+00
4.6756e-02 3.2749e+00 -2.185239e-07 5.4484e-04 -7.8166e-04 0.0000e+00 7.823502e-05 5.016706e-05 7.995915e-05 11 0.0000e+00 1.2534e+00 0.0000e+00 4.2747e+00
4.9337e-02 3.1229e+00 -1.537467e-07 6.4017e-04 -9.0746e-04 0.0000e+00 8.343092e-05 5.757431e-05 8.430970e-05 12 0.0000e+00 1.2004e+00 0.0000e+00 4.2549e+00
5.1919e-02 2.9836e+00 -1.302725e-07 7.3336e-04 -1.0340e-03 0.0000e+00 8.976636e-05 6.254024e-05 8.908933e-05 12 0.0000e+00 1.2037e+00 0.0000e+00 4.2113e+00
5.4501e-02 2.8553e+00 4.340347e-08 8.2464e-04 -1.1610e-03 0.0000e+00 9.544054e-05 6.905462e-05 9.250239e-05 12 0.0000e+00 1.2605e+00 0.0000e+00 4.1415e+00
5.7082e-02 2.7366e+00 1.414993e-07 9.0744e-04 -1.2819e-03 0.0000e+00 1.045757e-04 7.384687e-05 9.653604e-05 12 0.0000e+00 1.4295e+00 0.0000e+00 4.0458e+00
5.9664e-02 2.6264e+00 1.229515e-07 1.0056e-03 -1.4204e-03 0.0000e+00 1.116862e-04 8.103745e-05 1.032249e-04 12 0.0000e+00 1.2885e+00 0.0000e+00 3.9679e+00
6.2246e-02 2.5238e+00 3.733106e-07 1.1138e-03 -1.5713e-03 0.0000e+00 1.189033e-04 9.254798e-05 1.080283e-04 12 0.0000e+00 1.3760e+00 0.0000e+00 3.9402e+00
6.4827e-02 2.4280e+00 5.433438e-07 1.2347e-03 -1.7376e-03 0.0000e+00 1.255987e-04 9.987808e-05 1.137346e-04 12 0.0000e+00 1.3747e+00 0.0000e+00 3.9125e+00
6.7409e-02 2.3383e+00 5.059468e-07 1.3518e-03 -1.9030e-03 0.0000e+00 1.284156e-04 1.102499e-04 1.224592e-04 13 0.0000e+00 1.2239e+00 0.0000e+00 3.8906e+00
6.9990e-02 2.2540e+00 3.381930e-07 1.4688e-03 -2.0709e-03 0.0000e+00 1.317714e-04 1.206121e-04 1.277214e-04 11 0.0000e+00 1.2671e+00 0.0000e+00 3.8440e+00
7.2572e-02 2.1747e+00 7.823052e-07 1.5894e-03 -2.2443e-03 0.0000e+00 1.340010e-04 1.289525e-04 1.370817e-04 11 0.0000e+00 1.2566e+00 0.0000e+00 3.7983e+00
7.5154e-02 2.0999e+00 7.290079e-07 1.7248e-03 -2.4356e-03 0.0000e+00 1.349202e-04 1.333468e-04 1.425688e-04 11 0.0000e+00 1.2761e+00 0.0000e+00 3.7411e+00
7.7735e-02 2.0291e+00 7.920544e-07 1.8930e-03 -2.6625e-03 0.0000e+00 1.362488e-04 1.377757e-04 1.524150e-04 11 0.0000e+00 1.2756e+00 0.0000e+00 3.7148e+00
8.0317e-02 1.9621e+00 1.155078e-06 2.0683e-03 -2.8997e-03 0.0000e+00 1.404050e-04 1.458411e-04 1.589666e-04 12 0.0000e+00 1.2708e+00 0.0000e+00 3.7383e+00
8.2899e-02 1.8985e+00 8.754872e-08 2.2290e-03 -3.1267e-03 0.0000e+00 1.423317e-04 1.547035e-04 1.725256e-04 9 0.0000e+00 7.6114e-01 0.0000e+00 3.7291e+00
8.5480e-02 1.8381e+00 -1.000852e-06 2.3800e-03 -3.3471e-03 0.0000e+00 1.455303e-04 1.646478e-04 1.798939e-04 8 0.0000e+00 7.6668e-01 0.0000e+00 3.6841e+00
8.8062e-02 1.7806e+00 -9.810539e-07 2.5185e-03 -3.5562e-03 0.0000e+00 1.442294e-04 1.739432e-04 1.922928e-04 8 0.0000e+00 7.4729e-01 0.0000e+00 3.6373e+00
9.0643e-02 1.7257e+00 -1.284686e-06 2.6742e-03 -3.7854e-03 0.0000e+00 1.495372e-04 1.825421e-04 2.101074e-04 8 0.0000e+00 7.5345e-01 0.0000e+00 3.6021e+00
9.3225e-02 1.6733e+00 7.921995e-07 2.8497e-03 -4.0347e-03 0.0000e+00 1.536521e-04 1.941172e-04 2.314513e-04 7 0.0000e+00 7.7715e-01 0.0000e+00 3.5874e+00
9.5807e-02 1.6232e+00 9.193132e-07 3.0593e-03 -4.3231e-03 0.0000e+00 1.549372e-04 2.063962e-04 2.600110e-04 7 0.0000e+00 7.8583e-01 0.0000e+00 3.5654e+00
