# /uio/hume/student-u59/taabeled/gasoline/gasoline/pkdgrav L40_128_dark.param 
# PKDGRAV/GASOLINE Version 2.0.0 of $Date$
# Code compiled: Oct  9 2022 01:04:25
# Preprocessor macros: GASOLINE VSIGVISC WENDLANDC4 CHANGESOFT COOLING_METAL DTADJUST ESPACCH DIFFUSION

# Run started: Wed Sep  6 15:19:17 2023
# Master host: beehive5.uio.no
# N: 262144 nThreads: 20 bDiag: 0 Verbosity flags: (1,1,1,1,0)

# UNITS:  dMsolUnit: 1.02095e+15 dKpcUnit: 20000 dErgPerGmUnit: 2.19585e+15
# UNITS: dGmPerCcUnit (z=0): 8.64402e-30 dSecUnit: 1.31698e+18 (41732.6 Myr)
# UNITS: dKmPerSecUnit (z=0): 468.599
# BOX PARAMETERS:  bPeriodic: 1 bRestart: 0 bComove: 1 dPeriod: 1 dxPeriod: 1
# BOX PARAMETERS: dyPeriod: 1 dzPeriod: 1
# RUN DURATION:  iStartStep: 0 iStopStep: 128 nSteps: 128 iWallRunTime: 0
# RUN DURATION: dRedTo: 0
# READ/WRITE:  bParaRead: 0 bParaWrite: 0 bOverwrite: 0 iBinaryOutput: 0
# READ/WRITE: iReadIOrder: 0 bNoReOrder: 0 bStandard: 1 iOutInterval(0,0): 1 (0)
# READ/WRITE: dDumpFrameStep: -1 dDumpFrameTime: -1 iLogInterval: 1
# READ/WRITE: bLogTiming: 0 (0000) iCheckInterval: 1 bDoDensity: 1 dExtraStore: 2.000000
# READ/WRITE: achInFile: L20_64_IC.dat achOutName: L20_64_dark
# READ/WRITE: achDataSubPath: /uio/hume/student-u59/taabeled/AST4320_project2/L20_dark
# INTEGRATION:  bCannonical: 1 bKDK: 1 iOrder: 4 iEwOrder: 4 nReplicas: 1
# INTEGRATION: dEwCut: 2.600000 dEwhCut: 2.800000
# DOMAIN DECOMPOSITION:  dFracNoDomainDecomp: 0.1 dFracNoDomainDimChoice: 0.1
# DOMAIN DECOMPOSITION: bFastGas: 1 dFracFastGas: 0.2 bSplitWork: 1 bRungDD: 0
# DOMAIN DECOMPOSITION: dRungDDWeight: 1  nTruncateRung: 128 bLowerSoundSpeed: 0
# DOMAIN DECOMPOSITION: bGasDomainDecomp: 0
# TREEBUILD:  nBucket: 8 iTreeZipStep: 0 bTreeZipLocal: 1 iOpenType: JOSH
# TREEBUILD: dTheta: 0.525000 daSwitchTheta: 0.333333 dTheta2: 0.725000
# TREEBUILD: dAbsPartial: 0 dRealPartial: 0 dAbsTotal: 0 dRelTotal: 0
# SOFTENING:  dSoft: input bPhysicalSoft: 0 bVariableSoft: 0 (1 1 1)
# SOFTENING: nSoftNbr: 32 bSoftByType: 1 bSoftMaxMul: 1 dSoftMax: 0 bDoSoftOutput: 0
# TIMESTEPPING:  dDelta: 0.00258162 dDeltaSph: 0 dEta: 0.19 dEtauDot: 0.25
# TIMESTEPPING: dTMinDt: 0 duMinDt: 0 dEtaDeltaAccel: 0.2 dEtaCourant: 0.4 (0.25)
# TIMESTEPPING: iMaxRung: 24 bGravStep: 0 bEpsAccStep: 1 bDensityStep: 0
# TIMESTEPPING: bDeltaAccelStep: 0 (gt): 0 bLongRangeStep: 0 nTruncateRung: 128
# TIMESTEPPING: bNonSymp: 1
# COSMOLOGY:  dHubble0: 2.8944 dOmega0: 0.3077 dLambda: 0.6923 dOmegaRad: 0
# COSMOLOGY: dOmegab: 0 dQuintess: 0
# GRAVITY:  bEwald: 1 bSqrtPhiStep: 0 bDoGravity: 1 bDoSelfGravity: 1
# GRAVITY: bFandG: 0 bHeliocentric: 0 dCentMass: 1 dSunSoft: 0 bElliptical: 0
# GRAVITY: bEllipticalDarkNFW: 0 bLogHalo: 0 bHernquistSpheroid: 0 bNFWSpheroid: 0
# GRAVITY: bGalaxyDiskVerticalPotential: 0 dGalaxyDiskVerticalPotentialVc: 220
# GRAVITY: dGalaxyDiskVerticalPotentialR: 6 dGalaxyDiskVerticalPotentialStarSigma: 0
# GRAVITY: dGalaxyDiskVerticalPotentialStarH: 0.4
# GRAVITY: dGalaxyDiskVerticalPotentialGasSigma: 0 dGalaxyDiskVerticalPotentialGasH: 0.13 bHomogSpheroid: 0
# GRAVITY: dHomogSpheroidM: 2014379040 dHomogSpheroidR: 825242144 bBodyForce: 0
# GRAVITY: dBodyForceConst: 0 bMiyamotoDisk: 0 bTimeVarying: 0 bRotatingBar: 0
# GRAVITY: bRotFrame: 0 dOmega: 0 dOmegaDot: 0
# ROTATING BAR:  dRotBarMass: 0 dRotBarLength: 0 dRotBarCorotFac: 0
# ROTATING BAR: dRotBarTurnOff: 0 dRotBarTurnOn: 0 dRotBarAmpFac: 0 dRotBarDuration: 0
# ROTATING BAR: dRotBarPosAng: 0 dRotBarTime0: 0 dRotBarOmega: 0 dRotBarB5: 0
# ROTATING BAR: dRotBarIz: 0 dRotBarLz: 0 dRotBarLz0: 0 bFixedBar: 0 bBarMonopole: 1
# ROTATING BAR: dRotBarMonoPoleFac: 1
# NON-INERTIAL REFERENCE FRAME:  bPatch: 0 iStripOption: 2
# SINKS:  bDoSinks: 0 bBHSink: 0 dBHSinkEddEff: 0.1 dBHSinkFeedbackEff: 0.05
# SINKS: dBHSinkAlpha: 1 bDoBHKick: 0 bBHTurnOffCooling: 0 bSmallBHSmooth: 0
# SINKS: bBHMindv: 0 bBHAccreteAll: 1 bDoSinksAtStart: 0 bSinkThermal: 0
# SINKS: dSinkRadius: 0 dSinkBoundOrbitRadius: 0 dSinkMustAccreteRadius: 0 dSinkMassMin: 0
# SINKS: bSinkForm: 0 bSinkFormSimple: 0 bSinkFormJeans: 0 bSinkFormDivV: 0 (0)
# SINKS: bSinkFormDivAcc: 0 (0) bSinkFormDV: 0 bSinkFormPotMin: 0
# SINKS: nSinkFormMin: 64 bSinkAngMomOutput: 0 bSinkMerge: 1 nJeans: 50
# SINKS: dJeansConstant: 23.3246 dSinkFormDensity: -1 dSinkTimeEligible: 0
# SPH:  nSmooth: 64 dhMinOverSoft: 0 dResolveJeans: 0 bVariableAlpha: 0
# SPH: bDoGas: 0 bInitGasDensity: 1 bGeometric: 0 bGasAdiabatic: 1 bGasIsothermal: 0
# SPH: bGasCooling: 0 bShockTracker: 0 dShockTrackerA: 0.16 dShockTrackerB: 0.4
# SPH: dTauAlpha: 0.1 dAlphaMax: 4 dAlphaMin: 0 dNAlphaNoise: 100 dAFac: 2
# SPH: dConstAlpha: 1 dConstBeta: 2 bViscosityLimiter: 1 iViscosityLimiter: 1
# SPH: bViscosityLimitdt: 0 bBulkViscosity: 0 bSphStep: 1 bSphSingleStep: 0
# SPH: ddHonHLimit: 0.1 bSimpleGasDrag: 0 bEpstein: 1 dGamma: 1e-11
# GROWMASS:  nGrowMass: 0 bGrowDark: 1 bGrowGas: 1 bGrowStar: 1 dGrowDeltaM: 0
# GROWMASS: dGrowStartT: 0 dGrowEndT: 1 dGrowMaxM: 1.79769e+308 dGrowMinM: 0
# GAS PHYSICS:  dConstGamma: 1.66667 dMeanMolWeight: 1 dGasConst: 3.76322e-08
# GAS PHYSICS: dTuFac: 5.64483e-08 dKBoltzUnit: 1 dPext: 0 nSuperCool: 0
# GAS PHYSICS: bSymCool: 0 dCoolDens: 50 dCoolFac: 0.95 dCoolMaxDens: 1e+08
# GAS PHYSICS: bConstantDiffusion: 0 dMetalDiffusionCoeff: 0 dThermalDiffusionCoeff: 0
# GAS PHYSICS: dEvapCoeff: 1.2e-07 dEvapMinTemp: 100000 dThermalCondCoeff: 1.2e-07
# GAS PHYSICS: dThermalCondSatCoeff: 17 dThermalCond2Coeff: 500
# GAS PHYSICS: dThermalCond2SatCoeff: 0.5 dEtaDiffusion: 0.1
# COOLING:  bIonNonEqm: 1 bUV: 1 bUVTableUsesTime: 0 dMassFracHelium: 0.236
# COOLING: dCoolingTmin: 10 dCoolingTmax: 1e+09 nCoolingTable: 15001
# COOLING: bDoIonOutput: 0 bLowTCool: 0 bMetal: 1 dPhotoelectricHeating: 0
# COOLING: dPhotoelectricScaleLength: 4 dPhotoelectricInnerRadius: 4 dzTimeClampUV: -1
# COOLING: dMetalCoolFactor: 1
# RedOut: none
# Log entries:
# dTime z E T U Eth Lx Ly Lz WallTime dWMax dImax dEMax dMultiEff
2.8673e-04 1.2700e+02 -7.835923e-07 1.1189e-08 -7.9478e-07 0.0000e+00 1.111005e-15 3.643311e-16 -1.734662e-16 1 0.0000e+00 1.3448e+00 0.0000e+00 1.0000e+00
2.8683e-03 2.6570e+01 -6.314039e-07 1.1214e-06 -5.2664e-06 0.0000e+00 -2.441067e-07 7.000301e-07 1.583854e-06 44 0.0000e+00 1.1553e+00 0.0000e+00 3.2541e+01
5.4500e-03 1.6971e+01 -5.568502e-07 4.0764e-06 -1.1567e-05 0.0000e+00 -8.369398e-08 2.515290e-06 2.981759e-06 19 0.0000e+00 1.1605e+00 0.0000e+00 1.4355e+01
8.0316e-03 1.2877e+01 -4.904864e-07 8.9418e-06 -2.0396e-05 0.0000e+00 1.003464e-06 4.310202e-06 4.631672e-06 17 0.0000e+00 1.1043e+00 0.0000e+00 1.0304e+01
1.0613e-02 1.0523e+01 -4.217810e-07 1.5817e-05 -3.2000e-05 0.0000e+00 1.619470e-06 5.944617e-06 6.619549e-06 13 0.0000e+00 1.2760e+00 0.0000e+00 7.9846e+00
1.3195e-02 8.9650e+00 -3.419261e-07 2.4858e-05 -4.6613e-05 0.0000e+00 2.452188e-06 8.510666e-06 8.967911e-06 12 0.0000e+00 1.2620e+00 0.0000e+00 7.1743e+00
1.5776e-02 7.8449e+00 -2.796075e-07 3.6244e-05 -6.4513e-05 0.0000e+00 2.684305e-06 1.218563e-05 1.225316e-05 12 0.0000e+00 1.5151e+00 0.0000e+00 6.5159e+00
1.8358e-02 6.9939e+00 -1.927428e-07 5.0129e-05 -8.5877e-05 0.0000e+00 2.001429e-06 1.606289e-05 1.594788e-05 11 0.0000e+00 1.2714e+00 0.0000e+00 5.8993e+00
2.0940e-02 6.3215e+00 -9.074357e-08 6.6827e-05 -1.1109e-04 0.0000e+00 1.776960e-06 1.961181e-05 1.996254e-05 11 0.0000e+00 1.3328e+00 0.0000e+00 5.3965e+00
2.3521e-02 5.7744e+00 1.170151e-08 8.6462e-05 -1.4035e-04 0.0000e+00 3.248642e-06 2.288403e-05 2.348038e-05 11 0.0000e+00 1.2825e+00 0.0000e+00 5.0519e+00
2.6103e-02 5.3188e+00 6.327842e-08 1.0904e-04 -1.7378e-04 0.0000e+00 3.761983e-06 2.751967e-05 2.787302e-05 11 0.0000e+00 1.5105e+00 0.0000e+00 4.8295e+00
2.8685e-02 4.9325e+00 1.967559e-07 1.3508e-04 -2.1182e-04 0.0000e+00 4.053441e-06 3.253505e-05 3.249387e-05 11 0.0000e+00 1.3985e+00 0.0000e+00 4.6666e+00
3.1266e-02 4.6001e+00 3.154391e-07 1.6460e-04 -2.5465e-04 0.0000e+00 4.907887e-06 3.794031e-05 3.534025e-05 10 0.0000e+00 1.3343e+00 0.0000e+00 4.5380e+00
3.3848e-02 4.3103e+00 4.120609e-07 1.9725e-04 -3.0196e-04 0.0000e+00 5.184274e-06 4.510194e-05 3.736699e-05 10 0.0000e+00 1.4143e+00 0.0000e+00 4.4335e+00
3.6429e-02 4.0550e+00 5.744396e-07 2.3383e-04 -3.5452e-04 0.0000e+00 5.138220e-06 5.165159e-05 4.085164e-05 9 0.0000e+00 1.5180e+00 0.0000e+00 4.3381e+00
3.9011e-02 3.8281e+00 7.041041e-07 2.7580e-04 -4.1398e-04 0.0000e+00 5.560277e-06 6.020041e-05 4.358258e-05 10 0.0000e+00 1.3417e+00 0.0000e+00 4.2535e+00
4.1593e-02 3.6248e+00 8.046619e-07 3.2415e-04 -4.8146e-04 0.0000e+00 5.615091e-06 6.950488e-05 4.612757e-05 11 0.0000e+00 1.3788e+00 0.0000e+00 4.1962e+00
4.4174e-02 3.4414e+00 9.362113e-07 3.7396e-04 -5.5204e-04 0.0000e+00 6.044332e-06 7.940169e-05 4.850249e-05 10 0.0000e+00 1.2693e+00 0.0000e+00 4.1448e+00
4.6756e-02 3.2749e+00 1.100079e-06 4.2419e-04 -6.2456e-04 0.0000e+00 6.944465e-06 8.932931e-05 4.876781e-05 11 0.0000e+00 1.3249e+00 0.0000e+00 4.0558e+00
4.9337e-02 3.1229e+00 1.286875e-06 4.7844e-04 -7.0262e-04 0.0000e+00 9.656416e-06 1.001932e-04 4.951520e-05 10 0.0000e+00 1.3437e+00 0.0000e+00 3.9615e+00
5.1919e-02 2.9836e+00 1.432476e-06 5.3742e-04 -7.8703e-04 0.0000e+00 1.070891e-05 1.116550e-04 5.150289e-05 10 0.0000e+00 1.3578e+00 0.0000e+00 3.8919e+00
5.4501e-02 2.8553e+00 1.602938e-06 6.0015e-04 -8.7682e-04 0.0000e+00 1.355680e-05 1.217123e-04 5.015130e-05 10 0.0000e+00 1.3093e+00 0.0000e+00 3.8236e+00
5.7082e-02 2.7366e+00 1.831994e-06 6.6655e-04 -9.7188e-04 0.0000e+00 1.537213e-05 1.319590e-04 4.814715e-05 9 0.0000e+00 1.5757e+00 0.0000e+00 3.7484e+00
5.9664e-02 2.6264e+00 2.108159e-06 7.3765e-04 -1.0733e-03 0.0000e+00 1.547008e-05 1.416649e-04 4.974221e-05 10 0.0000e+00 1.5382e+00 0.0000e+00 3.6929e+00
6.2246e-02 2.5238e+00 2.161297e-06 8.1730e-04 -1.1853e-03 0.0000e+00 1.478916e-05 1.501313e-04 4.947771e-05 9 0.0000e+00 1.4468e+00 0.0000e+00 3.6410e+00
6.4827e-02 2.4280e+00 2.366249e-06 9.0534e-04 -1.3074e-03 0.0000e+00 1.256730e-05 1.603077e-04 5.173607e-05 8 0.0000e+00 1.3370e+00 0.0000e+00 3.6125e+00
6.7409e-02 2.3383e+00 2.532294e-06 1.0038e-03 -1.4422e-03 0.0000e+00 1.176809e-05 1.732644e-04 5.054181e-05 9 0.0000e+00 1.4594e+00 0.0000e+00 3.5956e+00
6.9990e-02 2.2540e+00 2.776531e-06 1.1077e-03 -1.5845e-03 0.0000e+00 1.063983e-05 1.873547e-04 4.744373e-05 8 0.0000e+00 1.4237e+00 0.0000e+00 3.5776e+00
7.2572e-02 2.1747e+00 2.968465e-06 1.2141e-03 -1.7317e-03 0.0000e+00 1.058485e-05 1.998405e-04 4.538786e-05 9 0.0000e+00 1.4008e+00 0.0000e+00 3.5638e+00
7.5154e-02 2.0999e+00 3.155107e-06 1.3173e-03 -1.8777e-03 0.0000e+00 1.095960e-05 2.141200e-04 4.105052e-05 10 0.0000e+00 1.4925e+00 0.0000e+00 3.5469e+00
7.7735e-02 2.0291e+00 3.498405e-06 1.4277e-03 -2.0328e-03 0.0000e+00 1.154980e-05 2.313415e-04 3.477365e-05 8 0.0000e+00 1.2793e+00 0.0000e+00 3.5224e+00
8.0317e-02 1.9621e+00 3.671818e-06 1.5506e-03 -2.2029e-03 0.0000e+00 1.389198e-05 2.493759e-04 2.661792e-05 8 0.0000e+00 1.2609e+00 0.0000e+00 3.5003e+00
8.2899e-02 1.8985e+00 1.994142e-06 1.6782e-03 -2.3820e-03 0.0000e+00 1.957776e-05 2.698523e-04 1.761757e-05 6 0.0000e+00 7.6734e-01 0.0000e+00 3.4831e+00
8.5480e-02 1.8381e+00 2.757930e-06 1.8010e-03 -2.5560e-03 0.0000e+00 2.707359e-05 2.938470e-04 5.608157e-06 5 0.0000e+00 7.4398e-01 0.0000e+00 3.4659e+00
8.8062e-02 1.7806e+00 3.436531e-06 1.9243e-03 -2.7328e-03 0.0000e+00 3.552701e-05 3.151281e-04 -5.319800e-07 5 0.0000e+00 7.5444e-01 0.0000e+00 3.4443e+00
9.0643e-02 1.7257e+00 3.817590e-06 2.0546e-03 -2.9190e-03 0.0000e+00 4.035791e-05 3.404278e-04 -8.601882e-06 6 0.0000e+00 7.5342e-01 0.0000e+00 3.4228e+00
9.3225e-02 1.6733e+00 4.060725e-06 2.1946e-03 -3.1172e-03 0.0000e+00 4.504202e-05 3.653292e-04 -1.315347e-05 5 0.0000e+00 7.5793e-01 0.0000e+00 3.3919e+00
9.5807e-02 1.6232e+00 4.305019e-06 2.3402e-03 -3.3235e-03 0.0000e+00 4.935151e-05 4.007033e-04 -1.990355e-05 6 0.0000e+00 7.7261e-01 0.0000e+00 3.3683e+00
