L20_64_dark.000001, a = 0.036271802270922346, z = 26.569625367131536
L20_64_dark.000002, a = 0.05564472988181345, z = 16.97115382038782
L20_64_dark.000003, a = 0.07206387164488935, z = 12.876578890011919
L20_64_dark.000004, a = 0.08678501231129446, z = 10.522726947517608
L20_64_dark.000005, a = 0.10035094434052212, z = 8.96502829715969
L20_64_dark.000006, a = 0.11305910634841004, z = 7.844931047998356
L20_64_dark.000007, a = 0.12509487563217278, z = 6.993932564754978
L20_64_dark.000008, a = 0.13658369889040045, z = 6.321517927277948
L20_64_dark.000009, a = 0.14761549860684675, z = 5.774356415401612
L20_64_dark.000010, a = 0.15825754471001938, z = 5.318814068753143
L20_64_dark.000011, a = 0.16856184932537036, z = 4.932540512590884
L20_64_dark.000012, a = 0.17856969937625383, z = 4.6000542280857974
L20_64_dark.000013, a = 0.1883145799285173, z = 4.310263285931402
L20_64_dark.000014, a = 0.19782413880283825, z = 4.05499483557288
L20_64_dark.000015, a = 0.20712155249934278, z = 3.828082775225302
L20_64_dark.000016, a = 0.2162265033814694, z = 3.6247799615747747
L20_64_dark.000017, a = 0.2251558959842345, z = 3.441367149763737
L20_64_dark.000018, a = 0.2339243932449492, z = 3.2748855137688446
L20_64_dark.000019, a = 0.2425448253548026, z = 3.122949226136517
L20_64_dark.000020, a = 0.25102850656084447, z = 2.9836113184923057
L20_64_dark.000021, a = 0.259385484182023, z = 2.855265853266688
L20_64_dark.000022, a = 0.2676247368625849, z = 2.736575369389197
L20_64_dark.000023, a = 0.27575433423572593, z = 2.6264162547855356
L20_64_dark.000024, a = 0.2837815668517655, z = 2.523837052187235
L20_64_dark.000025, a = 0.29171305291117516, z = 2.428026240239904
L20_64_dark.000026, a = 0.2995548267015924, z = 2.3382870541964937
L20_64_dark.000027, a = 0.30731241245522123, z = 2.254017603814525
L20_64_dark.000028, a = 0.31499088647950113, z = 2.174695024279941
L20_64_dark.000029, a = 0.32259492977384, z = 2.0998627309519864
L20_64_dark.000030, a = 0.33012887286629417, z = 2.029120086703265
L20_64_dark.000031, a = 0.33759673424100656, z = 1.9621139619381243
L20_64_dark.000032, a = 0.34500225344944574, z = 1.8985317921888099
L20_64_dark.000033, a = 0.352348919783879, z = 1.838095830159979
L20_64_dark.000034, a = 0.3596399972242405, z = 1.7805583575746895
L20_64_dark.000035, a = 0.36687854623810107, z = 1.7256976736683
L20_64_dark.000036, a = 0.37406744290933286, z = 1.6733147162512667
L20_64_dark.000037, a = 0.3812093957880133, z = 1.6232302011676802
L20_64_dark.000038, a = 0.388306960787411, z = 1.5752821890501125
L20_64_dark.000039, a = 0.3953625543999735, z = 1.5293240062090896
L20_64_dark.000040, a = 0.40237846546039513, z = 1.4852224605405153
L20_64_dark.000041, a = 0.40935686564797713, z = 1.4428563044059
L20_64_dark.000042, a = 0.41629981889101003, z = 1.4021149052236472
L20_64_dark.000043, a = 0.4232092898115348, z = 1.3628970915201886
L20_64_dark.000044, a = 0.43008715132859343, z = 1.3251101478174223
L20_64_dark.000045, a = 0.43693519152119614, z = 1.2886689362751618
L20_64_dark.000046, a = 0.4437551198380825, z = 1.2534951266925782
L20_64_dark.000047, a = 0.45054857272943194, z = 1.2195165194775353
L20_64_dark.000048, a = 0.45731711876562936, z = 1.1866664486541785
L20_64_dark.000049, a = 0.4640622632996486, z = 1.154883254004845
L20_64_dark.000050, a = 0.47078545272235517, z = 1.1241098131163967
L20_64_dark.000051, a = 0.4774880783538241, z = 1.094293125490326
L20_64_dark.000052, a = 0.4841714800084497, z = 1.0653839420334057
L20_64_dark.000053, a = 0.490836949258735, z = 1.0373364342480862
L20_64_dark.000054, a = 0.4974857324852427, z = 1.0101078979780866
L20_64_dark.000055, a = 0.5041190335639081, z = 0.9836584882154191
L20_64_dark.000056, a = 0.5107380165046855, z = 0.957950980120208
L20_64_dark.000057, a = 0.5173438077707712, z = 0.9329505543112406
L20_64_dark.000058, a = 0.5239374984711264, z = 0.9086246029689531
L20_64_dark.000059, a = 0.5305201463842011, z = 0.884942554614699
L20_64_dark.000060, a = 0.5370927778355613, z = 0.8618757154581669
L20_64_dark.000061, a = 0.5436563894423188, z = 0.8393971255001662
L20_64_dark.000062, a = 0.5502119497359089, z = 0.8174814278024689
L20_64_dark.000063, a = 0.5567604006736017, z = 0.7961047495298532
L20_64_dark.000064, a = 0.5633026590480924, z = 0.7752445935367478
L20_64_dark.000065, a = 0.5698396178036009, z = 0.7548797394158311
L20_64_dark.000066, a = 0.5763721472660804, z = 0.7349901530518494
L20_64_dark.000067, a = 0.5829010962944333, z = 0.7155569038334471
L20_64_dark.000068, a = 0.5894272933589606, z = 0.6965620887714832
L20_64_dark.000069, a = 0.5959515475527122, z = 0.6779887628558421
L20_64_dark.000070, a = 0.6024746495408818, z = 0.6598208750559944
L20_64_dark.000071, a = 0.6089973724529254, z = 0.6420432094348625
L20_64_dark.000072, a = 0.6155204727216712, z = 0.6246413309020584
L20_64_dark.000073, a = 0.6220446908733196, z = 0.6076015351823838
L20_64_dark.000074, a = 0.6285707522718834, z = 0.590910802619492
L20_64_dark.000075, a = 0.6350993678213308, z = 0.5745567554734596
L20_64_dark.000076, a = 0.6416312346284113, z = 0.5585276184055024
L20_64_dark.000077, a = 0.6481670366289004, z = 0.5428121818736318
L20_64_dark.000078, a = 0.6547074451797754, z = 0.5273997681902198
L20_64_dark.000079, a = 0.6612531196195496, z = 0.5122802000168221
L20_64_dark.000080, a = 0.6678047077993748, z = 0.49744377109186977
L20_64_dark.000081, a = 0.6743628465856849, z = 0.4828812190099494
L20_64_dark.000082, a = 0.68092816233774, z = 0.4685836998822801
L20_64_dark.000083, a = 0.6875012713605894, z = 0.4545427647296776
L20_64_dark.000084, a = 0.6940827803354582, z = 0.4407503374693844
L20_64_dark.000085, a = 0.7006732867288923, z = 0.4271986943708397
L20_64_dark.000086, a = 0.7072733791819988, z = 0.41388044486639086
L20_64_dark.000087, a = 0.713883637880995, z = 0.400788513613056
L20_64_dark.000088, a = 0.7205046349102092, z = 0.38791612371046313
